period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
March,WVI,Garowe,Cuun - TSFP,WFP133,8.81879,48.89346,TSFP_PLW,26,0,0,0,0,0,0,0,0,10,26,0,36,0,0,0
March,RAWA,Xarardheere,Dabagalo - TSFP,WFP134,4.9217,47.66523,TSFP_PLW,75,0,0,0,82,0,8,13,0,289,75,103,261,80,8,0
March,WVI,Baydhaba/Bardaale,Darusalam - TSFP,WFP139,3.117954,43.662952,TSFP_PLW,10,0,0,0,9,0,0,3,0,43,10,12,41,75,0,0
March,Mercy USA,Cabudwaaq,Bangele - TSFP,WFP147,6.15527,46.43626,TSFP_PLW,13,0,0,0,16,0,0,0,0,130,13,16,127,100,0,0
March,Mercy USA,Buuhoodle,Dhalaamo Cune - TSFP,WFP151,8.375667,46.621676,TSFP_PLW,70,0,0,0,0,0,0,0,0,0,70,0,70,0,0,0
March,RAWA,Xarardheere,Dhalwo - TSFP,WFP152,4.5612,47.56813,TSFP_PLW,38,0,0,0,28,0,2,5,0,161,38,35,164,80,6,0
March,WVI,Eyl,Dhanaane - TSFP,WFP153,7.596085,49.747431,TSFP_PLW,9,0,0,0,7,0,0,0,0,60,9,7,62,100,0,0
March,SCI,Borama,Boon - Settlement,WFP1535,10.18513,43.0841,TSFP_PLW,139,0,0,0,0,0,0,0,0,266,139,0,405,0,0,0
March,WVI,Eyl,Dhigenle - TSFP,WFP156,7.83003,49.51149,TSFP_PLW,8,0,0,0,9,0,0,0,0,34,8,9,33,100,0,0
March,Mercy USA,Buuhoodle,Dhilaalo - TSFP,WFP157,8.440799,46.464777,TSFP_PLW,58,0,0,0,0,0,0,0,0,0,58,0,58,0,0,0
March,WRRS,Afmadow,Dhobley - TSFP,WFP158,0.40627,41.01238,TSFP_PLW,5,0,0,0,4,0,0,1,0,36,5,5,36,80,0,0
March,HEAL ,Ceel Afweyn,DHOOMO  - TSFP,WFP159,9.815154,46.712569,TSFP_PLW,0,0,0,0,0,0,0,0,0,39,0,0,39,0,0,0
March,HADO,Bandarbayla,Dhudhub - TSFP,WFP160,9.22973,49.91697,TSFP_PLW,154,0,0,0,0,0,0,0,0,24,154,0,178,0,0,0
March,Mercy USA,Hobyo,Wisil  - MCHN,WFP163,5.42775,48.12112,TSFP_PLW,15,0,0,0,19,0,0,0,0,541,15,19,537,100,0,0
March,WRRS,Afmadow,dibi - TSFP,WFP165,0.5804,41.1217,TSFP_PLW,1,0,0,0,1,0,1,0,0,3,1,2,2,50,50,0
March,DHO,Diinsoor,Bilile - Settlement,WFP1658,2.41605,42.90134,TSFP_PLW,31,0,0,0,20,0,4,0,0,33,31,24,40,83,17,0
March,WVI,Eyl,Diilin - TSFP,WFP169,8.25548,49.5762,TSFP_PLW,11,0,0,0,9,0,0,0,0,37,11,9,39,100,0,0
March,SDRO,Gaalkacyo,Docol - TSFP,WFP170,6.432393,47.491112,TSFP_PLW,6,0,0,0,4,0,0,0,0,39,6,4,41,100,0,0
March,SDRO,Gaalkacyo,Docole farale - TSFP,WFP173,6.67026,47.552374,TSFP_PLW,2,0,0,0,2,0,0,0,0,10,2,2,10,100,0,0
March,WVI,Doolow,DollowTown - TSFP,WFP176,4.16358,42.07617,TSFP_PLW,5,0,0,0,8,0,0,0,0,70,5,8,67,100,0,0
March,WVI,Garowe,Dudumaale - TSFP,WFP180,8.143998,48.776269,TSFP_PLW,17,0,0,0,0,0,0,0,0,6,17,0,23,0,0,0
March,HEAL ,Ceel Afweyn,Fadhigab  - TSFP,WFP186,9.666649,47.014348,TSFP_PLW,0,0,0,0,0,0,0,0,0,44,0,0,44,0,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Faragoy - TSFP,WFP188,5.466401,46.524527,TSFP_PLW,17,0,0,0,12,0,0,0,0,41,17,12,46,100,0,0
March,HIDIG,Belet Weyne/Matabaan,Farlibah - TSFP,WFP190,4.87458,44.86873,TSFP_PLW,0,0,0,0,0,0,0,0,0,220,0,0,220,0,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Gadon - TSFP,WFP194,5.68118,46.683252,TSFP_PLW,121,0,0,0,23,0,0,0,0,56,121,23,154,100,0,0
March,SDO,Galdogob,GALDOGOB - TSFP,WFP195,7.05755,47.13494,TSFP_PLW,150,0,0,0,0,0,0,0,0,170,150,0,320,0,0,0
March,SDRO,Gaalkacyo,Galinsoor - TSFP,WFP196,6.42639,46.70553,TSFP_PLW,3,0,0,0,3,0,0,0,0,19,3,3,19,100,0,0
March,WVI,Luuq,Garbolow - TSFP,WFP207,3.91147,42.51267,TSFP_PLW,8,0,0,0,0,0,0,0,0,15,8,0,23,0,0,0
March,WVI,Eyl, Godob Addun - TSFP,WFP209,7.6693,49.528099,TSFP_PLW,0,0,0,0,19,0,0,0,0,50,0,19,31,100,0,0
March,WVI,Burtinle,Godobyar - TSFP,WFP211,7.72006,47.66395,TSFP_PLW,7,0,0,0,10,0,0,0,0,32,7,10,29,100,0,0
March,WVI,Doolow,Gubatta - TSFP,WFP221,4.1345,42.21043,TSFP_PLW,22,0,0,0,3,0,0,0,0,8,22,3,27,100,0,0
March,HADO,Iskushuban,Gumbax - TSFP,WFP222,10.88443,51.11405,TSFP_PLW,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0
March,SDRO,Gaalkacyo,Horseed - TSFP,WFP242,3.209623,43.199554,TSFP_PLW,97,0,0,0,47,0,0,3,0,826,97,50,873,94,0,0
March,WVI,Baydhaba/Bardaale,Howlwadag - TSFP,WFP244,3.11651,43.54367,TSFP_PLW,16,0,0,0,17,0,0,0,0,65,16,17,64,100,0,0
March,WVI,Luuq,IDP F - TSFP,WFP248,3.777534,42.561513,TSFP_PLW,19,0,0,0,0,0,0,0,0,45,19,0,64,0,0,0
March,DHO ,Diinsoor,Raahole - Settlement,WFP2490,2.42142,42.928669,TSFP_PLW,8,0,0,0,15,0,1,0,0,26,8,16,18,94,6,0
March,HADO,Iskushuban,Iskushuban - TSFP,WFP250,10.28178,50.23009,TSFP_PLW,164,0,0,0,0,0,0,0,0,70,164,0,234,0,0,0
March,WVI,Burtinle,Jalam - TSFP,WFP252,7.87079,48.04045,TSFP_PLW,19,0,0,0,15,0,0,0,0,110,19,15,114,100,0,0
March,SDO,Jariiban,JARIIBAN - TSFP,WFP257,7.21345,48.85104,TSFP_PLW,167,0,0,0,0,0,0,0,0,166,167,0,333,0,0,0
March,WOCCA,Jowhar,JOWHAR - TSFP,WFP258,8.16935,46.50269,TSFP_PLW,0,0,0,0,0,0,0,0,0,937,0,0,937,0,0,0
March,WVI,Eyl,Kabal - TSFP,WFP259,8.073611,49.959598,TSFP_PLW,5,0,0,0,4,0,0,0,0,30,5,4,31,100,0,0
March,WVI,Garowe,Kalabayr - TSFP,WFP261,8.41278,48.486389,TSFP_PLW,156,0,0,0,0,0,0,0,0,50,156,0,206,0,0,0
March,WVI,Belet Xaawo,Kalagubta - TSFP,WFP263,3.933108,41.884086,TSFP_PLW,7,0,2,0,3,0,0,0,0,23,9,3,29,100,0,0
March,HEAL ,Ceel Afweyn,Kalsheish - TSFP,WFP266,10.062975,47.204693,TSFP_PLW,0,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0
March,HEAL ,Ceel Afweyn,Badhigalis  - TSFP,WFP27,9.97234,47.29558,TSFP_PLW,0,0,0,0,0,0,0,0,0,29,0,0,29,0,0,0
March,HEAL ,Ceel Afweyn,LASDOMERE - TSFP,WFP270,9.81422,46.71377,TSFP_PLW,0,0,0,0,0,0,0,0,0,72,0,0,72,0,0,0
March,WVI,Belet Xaawo,Lebiraar - TSFP,WFP275,3.73163,41.97727,TSFP_PLW,4,0,0,0,3,0,0,0,0,30,4,3,31,100,0,0
March,WVI,Luuq,Luq Godey - TSFP,WFP279,3.79704,42.55408,TSFP_PLW,16,0,0,0,0,0,0,0,0,45,16,0,61,0,0,0
March,Mercy USA,Cabudwaaq,Hurshe - TSFP,WFP28,6.2102,46.42169,TSFP_PLW,8,0,0,0,21,0,0,0,0,345,8,21,332,100,0,0
March,WVI,Burtinle,Magacley - TSFP,WFP283,9.0875,49.585602,TSFP_PLW,5,0,0,0,4,0,1,0,0,30,5,5,30,80,20,0
March,WVI,Luuq,Maganey - TSFP,WFP284,3.7095,42.52007,TSFP_PLW,18,0,0,0,0,0,0,0,0,39,18,0,57,0,0,0
March,WVI,Eyl,Maraya - TSFP,WFP287,8.3206,50.16414,TSFP_PLW,9,0,0,0,7,0,0,0,0,30,9,7,32,100,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Marergur - TSFP,WFP288,5.75047,46.51312,TSFP_PLW,91,0,0,0,15,0,0,0,0,94,91,15,170,100,0,0
March,SWISSO-kalmo,Marka,Marka - TSFP,WFP291,1.71305,44.76388,TSFP_PLW,327,0,0,0,212,0,0,0,0,537,327,212,652,100,0,0
March,RAWA,Xarardheere,Camara - TSFP,WFP300,5.11431,47.93026,TSFP_PLW,167,0,0,0,128,0,12,22,0,524,167,162,529,79,7,0
