GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,period,EVENT_DATE,year,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
520,5058RTA,,April 2017,9/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Military Forces of Somalia (2017-),,1,11,Somalia,Banaadir,Mogadisho,,Hodan,2.03333,45.35,1,Local Source Project,"09 April, 19:00EAT, UAE Military Camp, Mogadishu: armed clashes erupted between National Intelligence and Security Agency (NISA) troops and the Somali force protection detail of the UAE military camp in Hodan district. No reported causalities. ",0
520,5059RTA,,April 2017,9/4/17,2017,1,Battle-No change of territory,Unidentified Clan Militia (Somalia),,4,Unidentified Clan Militia (Somalia),,4,44,Somalia,Sool,Lascaanod,,Las Anod,8.47358,47.35441,1,Goobjoog,At least 13 people have been killed in fighting between rival Somali clan militia near the northern town of Las Anod in Sool Region. Actors not identified. ,13
520,5060RTA,,April 2017,9/4/17,2017,1,Remote violence,AMISOM: African Union Mission in Somalia (2007-),,8,Unidentified Armed Group (Somalia),,3,38,Somalia,Shabeellaha Dhexe,Jowhar,,Mahadaay,2.97043,45.53468,1,Local Source Project,"AM, Mahaday, Middle Shabelle: an African Union Mission to Somalia (AMISOM) convoy was hit by a roadside improvised explosive device (IED). No causalities reported. ",0
520,5061RTA,,April 2017,9/4/17,2017,1,Remote violence,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),,7,37,Somalia,Banaadir,Mogadisho,,Waaberi,2.01951,45.31,1,Local Source Project,"13:00EAT, Wabeeri, Mogadishu: an under-vehicle improvised explosive device (UVIED) detonated under the vehicle of an unidentified target in Wabeeri. Resulting causality figures not known.",0
520,5062RTA,,April 2017,9/4/17,2017,1,Violence against civilians,Al Shabaab,,2,Civilians (Somalia),Government of Somalia (2017-),7,27,Somalia,Banaadir,Mogadisho,,Daynile,2.05814,45.30029,1,Local Source Project,"12:30EAT, Ministry of Defence, Mogadishu: an al Shabaab suicide bomber attempted to ram his vehicle-borne improvised explosive device (VBIED) against the convoy of the commander in chief of the Somali National Armed Forces (SNAF). At least 15 people, including soldiers were killed by the blast. ",16
520,5452RTA,,April 2017,9/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Unidentified Armed Group (Somalia),,3,13,Somalia,Banaadir,Mogadisho,,Bakaara Market,2.04936,45.31986,1,Local Source Project,"09 April, 23:00EAT: SNAF patrol ambushed, Bakaara Market, Hawl Wadaag district. Causalities, perpetrators not known. ",0
520,5063RTA,,April 2017,10/4/17,2017,1,Battle-No change of territory,Military Forces of Kenya (2013-),,8,Al Shabaab,,2,28,Somalia,Gedo,Bardera,,Gantamaa,2.41827,41.84109,1,Local Source Project,"10 April, AM, Gantamaa, Gedo region: a Kenya Defence Force (KDF) press release indicated Kenyan forces had disrupted an al Shabaab camp near Gantamaa, killing 15 militants.",15
520,5064RTA,,April 2017,10/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Bakool,Waajid,,Waajid,3.80958,43.24628,1,Local Source Project,Armed clashes opposing between government forces and al Shabaab were recorded near Wajid on 10/04. Causalities not known.,0
520,5065RTA,,April 2017,10/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Banaadir,Mogadisho,,Wadajir,2.0462,45.33407,1,Local Source Project,"10:15EAT, Warshada Nac-Naha, Banadir: an al Shabaab suicide bomber detonated his suicide vest inside a Somali military base near Jazeera Training Camp. It was reported the bomber was disguised as a military officer. Five soldiers reported killed from the blast. ",6
520,5066RTA,,April 2017,10/4/17,2017,1,Remote violence,Military Forces of Kenya (2013-),,8,Al Shabaab,,2,28,Somalia,Gedo,Bardera,,Baardheere,2.33993,42.28598,2,Shabelle Media Network  ,"Kenyan air forces bombs an al Shabaab location in Tam Tama, 50 kilometres west of Bardhere town, Gedo region. ""Some"" al Shabaab reported killed in the operation. Other reports (Daily Nation) hold the death total at 15. ",10
520,5067RTA,,April 2017,10/4/17,2017,1,Remote violence,AMISOM: African Union Mission in Somalia (2007-),,8,Unidentified Armed Group (Somalia),,3,38,Somalia,Shabeellaha Hoose,Afgooye,,Laantabuur,2.05368,45.05478,1,Local Source Project,"13:00EAT, Lanta Buuro, Lower Shabelle: an AMISOM convoy was hit by a roadside improvised explosive device (IED). Causalities, perpetrators not known.",0
