X,Y,osm_id,name,name_en,is_in_coun,is_in_stat,created_at,updated_at,bb,region,period,date,value
41.9780453244641,2.89647321720489,R1720057,Gedo,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"40.9891799999999975,1.2307850000000000,43.1399990000000031,4.3069829999999998",Gedo,week 1,1/2/2017,0
41.9780453244641,2.89647321720489,R1720057,Gedo,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"40.9891799999999975,1.2307850000000000,43.1399990000000031,4.3069829999999998",Gedo,week 2,1/9/2017,0
41.9780453244641,2.89647321720489,R1720057,Gedo,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"40.9891799999999975,1.2307850000000000,43.1399990000000031,4.3069829999999998",Gedo,week 3,1/16/2017,4
41.9780453244641,2.89647321720489,R1720057,Gedo,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"40.9891799999999975,1.2307850000000000,43.1399990000000031,4.3069829999999998",Gedo,week 4,1/23/2017,1
41.9780453244641,2.89647321720489,R1720057,Gedo,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"40.9891799999999975,1.2307850000000000,43.1399990000000031,4.3069829999999998",Gedo,week 5,1/30/2017,1
41.9780453244641,2.89647321720489,R1720057,Gedo,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"40.9891799999999975,1.2307850000000000,43.1399990000000031,4.3069829999999998",Gedo,week 6,2/6/2017,6
41.9780453244641,2.89647321720489,R1720057,Gedo,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"40.9891799999999975,1.2307850000000000,43.1399990000000031,4.3069829999999998",Gedo,week 7,2/13/2017,0
45.4750368081872,4.21284537972469,R1720058,Hiiraan,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.5924049999999994,3.2000000000000002,46.4000020000000006,5.4928020000000002",Hiraan,week 1,1/2/2017,0
45.4750368081872,4.21284537972469,R1720058,Hiiraan,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.5924049999999994,3.2000000000000002,46.4000020000000006,5.4928020000000002",Hiraan,week 2,1/9/2017,4
45.4750368081872,4.21284537972469,R1720058,Hiiraan,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.5924049999999994,3.2000000000000002,46.4000020000000006,5.4928020000000002",Hiraan,week 3,1/16/2017,9
45.4750368081872,4.21284537972469,R1720058,Hiiraan,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.5924049999999994,3.2000000000000002,46.4000020000000006,5.4928020000000002",Hiraan,week 4,1/23/2017,3
45.4750368081872,4.21284537972469,R1720058,Hiiraan,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.5924049999999994,3.2000000000000002,46.4000020000000006,5.4928020000000002",Hiraan,week 5,1/30/2017,19
45.4750368081872,4.21284537972469,R1720058,Hiiraan,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.5924049999999994,3.2000000000000002,46.4000020000000006,5.4928020000000002",Hiraan,week 6,2/6/2017,15
