period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,0
June,LNGO,Hargeisa,ABAARSO  - Settlement,WFP479,9.602462,43.880653,TSFP_U5,17,0,0,0,7,0,1,0,0,400,17,8,409,88,13,0
June,LNGO,Gaalkacyo,Bandiradley - TSFP,WFP48,6.47979,46.945358,TSFP_U5,48,0,0,0,32,0,0,0,0,192,48,32,208,100,0,0
June,LNGO,Ceel Afweyn,GAR-ADAG  - Settlement,WFP4876,9.487011,46.866926,TSFP_U5,23,0,0,0,7,0,0,0,0,641,23,7,657,100,0,0
June,LNGO,Garbahaarey,Garbaharey - Regional Capital,WFP4990,3.328,42.219879,TSFP_U5,47,0,0,0,0,0,0,0,0,161,47,0,208,0,0,0
June,INGO,Afgooye,Afgooye - TSFP,WFP5,2.14158,45.118698,TSFP_U5,290,250,0,0,605,0,0,0,0,2388,540,605,2323,100,0,0
June,INGO,Baki,Gargaara - Settlement,WFP5018,10.313044,43.805888,TSFP_U5,38,0,1,0,25,0,0,0,0,356,39,25,370,100,0,0
June,INGO,Dan Gorayo,Garmaal - Settlement,WFP5028,8.353708,50.186264,TSFP_U5,13,0,0,0,7,0,0,0,0,84,13,7,90,100,0,0
June,LNGO,Gaalkacyo,Garsoor - Settlement,WFP5058,6.766228,47.427875,TSFP_U5,132,0,0,0,413,0,0,0,0,1249,132,413,968,100,0,0
June,INGO,Gebiley,Gabiley - District Capital,WFP5090,9.70577,43.62497,TSFP_U5,45,2,4,0,41,0,2,3,2,1600,51,48,1603,85,4,0
June,INGO,Baki,Geerisa - Settlement,WFP5143,10.60353,43.43364,TSFP_U5,50,0,2,0,38,0,0,0,0,362,52,38,376,100,0,0
June,LNGO,Cadaado,Gidheys - Settlement,WFP5193,9.949355,45.460399,TSFP_U5,23,0,0,0,67,0,0,0,0,275,23,67,231,100,0,0
June,LNGO,Ceel Barde,Abesale - Settlement,WFP526,4.90445,44.5206,TSFP_U5,9,0,3,0,5,0,3,0,4,125,12,12,125,42,25,0
June,INGO,Buuhoodle,Banyaal - TSFP,WFP53,8.36836,46.53861,TSFP_U5,0,0,0,0,0,0,0,0,0,43,0,0,43,0,0,0
June,INGO,Dan Gorayo,Baqbaq - TSFP,WFP54,7.82861,49.488331,TSFP_U5,20,0,0,0,27,0,2,0,0,125,20,29,116,93,7,0
June,INGO,Doolow,Gubatta - Settlement,WFP5422,4.1345,42.21043,TSFP_U5,8,0,0,0,22,0,0,5,0,41,8,27,22,81,0,0
June,LNGO,Caluula,Bareeda - TSFP,WFP56,11.8702,51.05796,TSFP_U5,14,0,0,0,39,0,0,0,0,851,14,39,826,100,0,0
June,INGO,BeletWeyne,Hawotako - Settlement,WFP5766,4.742113,45.214151,TSFP_U5,50,0,0,0,150,0,0,0,0,1136,50,150,1036,100,0,0
June,LNGO,Garbahaarey,Hillamarer - Settlement,WFP5803,3.22728,42.49406,TSFP_U5,0,0,0,0,165,0,2,20,9,223,0,196,27,84,1,0
June,LNGO,Galdogob,XEROJAALE - Settlement,WFP5827,6.985543,47.187605,TSFP_U5,0,0,0,0,0,0,0,0,0,87,0,0,87,0,0,0
June,INGO,Laas Caanood,Higlada - Settlement,WFP5834,8.82003,44.54681,TSFP_U5,0,0,0,0,0,0,0,0,0,661,0,0,661,0,0,0
June,LNGO,Ceel Barde,Hiirey  - Settlement,WFP5845,4.80724,43.712,TSFP_U5,314,4,3,0,28,0,0,0,0,97,321,28,390,100,0,0
June,INGO,Eyl,Badey - TSFP,WFP59,7.98566,49.83521,TSFP_U5,21,0,0,0,18,0,0,0,0,641,21,18,644,100,0,0
June,LNGO,Ceel Afweyn,HULUL - Settlement,WFP5944,9.97111,46.70073,TSFP_U5,0,0,0,0,7,0,0,0,0,452,0,7,445,100,0,0
June,INGO,Borama,IDHANKA - Settlement,WFP6002,9.69256,43.30208,TSFP_U5,0,0,7,0,8,0,0,0,0,421,7,8,420,100,0,0
June,LNGO,Lasanod,Kalabaydh Lasanod - Settlement,WFP6482,8.242749,47.22691,TSFP_U5,77,0,0,0,85,0,0,0,0,323,77,85,315,100,0,0
June,INGO,Garoowe,B.dheer - TSFP,WFP67,8.25639,48.305828,TSFP_U5,45,0,0,0,10,0,0,0,0,35,45,10,70,100,0,0
June,INGO,Baydhaba,Kormeri - Settlement,WFP6715,3.1508,43.216412,TSFP_U5,79,0,0,0,46,0,0,19,11,253,79,76,256,61,0,0
June,LNGO,Ceerigaabo,kulmiye - Settlement,WFP6774,3.09322,43.05594,TSFP_U5,27,0,1,0,189,0,0,0,0,370,28,189,209,100,0,0
June,LNGO,Ceel Afweyn,Bixinka  - TSFP,WFP69,10.113809,47.086639,TSFP_U5,0,0,0,0,0,0,0,0,0,103,0,0,103,0,0,0
June,INGO,Lasanod,Lasanod - Regional Capital,WFP6912,8.473575,47.354409,TSFP_U5,68,0,0,0,55,0,0,5,0,467,68,60,475,92,0,0
June,INGO,Baki,Lughaye - District Capital,WFP7165,10.682525,43.943153,TSFP_U5,38,0,0,0,44,0,0,0,0,260,38,44,254,100,0,0
June,INGO,Luuq,Luq Godey - Part of town,WFP7184,3.79704,42.55408,TSFP_U5,10,0,0,0,0,0,0,0,0,38,10,0,48,0,0,0
June,INGO,Dhuusamarreeb,Bohol - TSFP,WFP72,5.74731,46.22785,TSFP_U5,20,0,0,0,42,0,0,0,0,125,20,42,103,100,0,0
June,INGO,Deynile,Malable - Settlement,WFP7385,3.03813,43.43877,TSFP_U5,38,0,0,0,0,0,0,0,0,0,38,0,38,0,0,0
June,LNGO,Cadaado,Marsamage - Settlement,WFP7516,5.76868,47.26299,TSFP_U5,23,0,0,0,29,0,0,0,0,82,23,29,76,100,0,0
June,LNGO,Erigavo,MAYDH  - Settlement,WFP7577,10.988259,47.109128,TSFP_U5,3,0,0,0,3,0,0,0,0,614,3,3,614,100,0,0
June,INGO,Hobyo,Hobyo town  - TSFP,WFP77,5.34743,48.5262,TSFP_U5,67,0,0,0,78,0,0,0,0,1165,67,78,1154,100,0,0
June,LNGO,Gaalkacyo,Mustaqbal - Settlement,WFP7863,1.5655,44.20223,TSFP_U5,52,0,0,0,169,0,0,0,0,547,52,169,430,100,0,0
June,INGO,Dhuusamarreeb,Olol - Settlement,WFP7971,5.92195,46.23917,TSFP_U5,19,0,0,0,31,0,0,0,0,124,19,31,112,100,0,0
June,INGO,Mataban ,Omad - Settlement,WFP7974,5.00533,45.47373,TSFP_U5,115,0,0,0,0,0,0,0,0,224,115,0,339,0,0,0
June,LNGO,Burco,OOG - Settlement,WFP7990,8.934069,46.617513,TSFP_U5,119,0,0,0,35,0,0,0,0,218,119,35,302,100,0,0
June,INGO,Doolow,Qansaxley - Settlement,WFP8123,2.58504,45.00872,TSFP_U5,13,0,0,0,62,0,0,44,0,344,13,106,251,58,0,0
June,LNGO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_U5,15,0,0,0,10,0,0,0,0,33,15,10,38,100,0,0
June,INGO,Belet Xaawo,BUNIYO - TSFP,WFP82,3.5444,41.85122,TSFP_U5,15,0,13,0,11,0,0,2,0,91,28,13,106,85,0,0
June,LNGO,Burco,qorilugud - Settlement,WFP8245,8.552813,46.223893,TSFP_U5,56,0,0,0,10,0,5,0,0,141,56,15,182,67,33,0
June,INGO,Burco,Qoryaale - Settlement,WFP8254,3.26912,45.69738,TSFP_U5,101,12,0,0,34,0,0,0,0,347,113,34,426,100,0,0
June,INGO,Borama,QULJEED - Settlement,WFP8291,10.09149,43.00922,TSFP_U5,112,0,0,0,106,0,0,0,0,626,112,106,632,100,0,0
June,INGO,Dan Gorayo,Qundhed - Settlement,WFP8300,8.89492,50.44462,TSFP_U5,15,0,0,0,14,0,1,0,0,90,15,15,90,93,7,0
June,LNGO,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_U5,8,1,7,0,6,0,2,4,4,637,16,16,637,38,13,0
June,LNGO,Rab Dhuure,Aato - Settlement,WFP832,4.6205,43.350201,TSFP_U5,155,4,4,0,61,0,0,0,0,205,163,61,307,100,0,0
June,INGO,Garoowe,Reemanti - Settlement,WFP8444,7.806736,48.523262,TSFP_U5,71,0,0,0,36,0,0,0,0,160,71,36,195,100,0,0
June,INGO,Hargeisa,Sabawanag - Settlement,WFP8569,10.52959,44.13137,TSFP_U5,34,0,0,0,22,0,0,0,0,394,34,22,406,100,0,0
June,LNGO,Galdogob,BURSAALAX - TSFP,WFP86,7.17457,47.24316,TSFP_U5,0,0,0,0,0,0,0,0,0,9185,0,0,9185,0,0,0
June,INGO,Hargeisa,Salahlaye - Settlement,WFP8622,9.02686,44.20228,TSFP_U5,148,1,6,0,25,0,0,2,0,1405,155,27,1533,93,0,0
June,LNGO,Ceel Barde,Salkudhooble  - Settlement,WFP8632,4.90952,43.99175,TSFP_U5,161,2,2,0,54,0,0,0,0,261,165,54,372,100,0,0
June,INGO,Dhuusamarreeb,Shalaqben - Settlement,WFP8786,5.26156,45.765,TSFP_U5,28,0,0,0,27,0,0,0,0,185,28,27,186,100,0,0
June,LNGO,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_U5,59,0,0,0,44,0,4,6,3,472,59,57,474,77,7,0
June,INGO,Dan Gorayo,Suuj - Settlement,WFP9044,8.68593,50.36265,TSFP_U5,14,0,0,0,8,0,1,0,0,90,14,9,95,89,11,0
June,INGO,Berbera,Suuqsade - Settlement,WFP9050,9.94136,45.330108,TSFP_U5,58,0,0,0,13,0,2,0,0,439,58,15,482,87,13,0
June,LNGO,Gaalkacyo,Tawakal - Settlement,WFP9092,4.88902,45.04633,TSFP_U5,65,0,0,0,149,0,0,0,0,445,65,149,361,100,0,0
June,LNGO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_U5,121,0,0,0,162,0,0,0,0,1652,121,162,1611,100,0,0
June,INGO,Dan Gorayo,Usgure - Settlement,WFP9344,7.518322,49.416017,TSFP_U5,29,0,0,0,25,0,2,1,0,135,29,28,136,89,7,0
June,INGO,Doolow,Unsi - Settlement,WFP9355,4.03703,41.95665,TSFP_U5,22,0,0,0,58,0,0,33,0,111,22,91,42,64,0,0
June,LNGO,Cadaado,Wad - Settlement,WFP9409,8.872857,46.929618,TSFP_U5,24,0,0,0,70,0,0,0,0,256,24,70,210,100,0,0
