period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
June,SDRO,Gaalkacyo,Docol - TSFP,WFP170,6.432393,47.491112,TSFP_PLW,4,0,0,0,12,0,0,0,0,36,4,12,28,100,0
June,HRDO,Cadaado,Biyo-gadud - Settlement,WFP1708,6.30798,46.65501,TSFP_PLW,12,0,0,0,22,0,0,0,0,122,12,22,112,100,0
June,SDRO,Gaalkacyo,Docole farale - TSFP,WFP173,6.67026,47.552374,TSFP_PLW,3,0,0,0,4,0,0,0,0,11,3,4,10,100,0
June,WVI,Belet Xaawo,BOOCO - Settlement,WFP1779,4.33015,45.39258,TSFP_PLW,3,0,0,0,0,0,0,2,0,13,3,2,14,0,0
June,SCI,Borama,BOON - Settlement,WFP1794,10.18513,43.0841,TSFP_PLW,0,0,0,0,0,0,0,0,0,323,0,0,323,0,0
June,WVI,Garoowe,Dudumaale - TSFP,WFP180,8.143998,48.776269,TSFP_PLW,19,0,0,0,7,0,0,0,0,35,19,7,47,100,0
June,SCI,Bossaso,Bossaso - Regional Capital,WFP1830,11.28366,49.18063,TSFP_PLW,15,0,0,0,128,0,0,0,0,647,15,128,534,100,0
June,WVI,Dan Gorayo,Budunbuto - Settlement,WFP1847,7.61778,49.07695,TSFP_PLW,12,0,0,0,13,0,0,0,0,50,12,13,49,100,0
June,HEAL ,Ceel Afweyn,Fadhigab  - TSFP,WFP186,9.666649,47.014348,TSFP_PLW,276,0,0,0,0,0,0,0,0,44,276,0,320,0,0
June,Swisso-Kalmo,Dhuusamarreeb,Faragoy - TSFP,WFP188,5.466401,46.524527,TSFP_PLW,10,0,0,0,16,0,0,0,0,67,10,16,61,100,0
June,WVI,Burtinle,Faratoyo - TSFP,WFP189,7.53474,47.81277,TSFP_PLW,8,0,0,0,12,0,1,1,0,45,8,14,39,86,7
June,HIDIG,Belet Weyne,Farlibah - TSFP,WFP190,4.87458,44.86873,TSFP_PLW,8,0,6,0,5,0,3,2,0,350,14,10,354,50,30
June,Swisso-Kalmo,Dhuusamarreeb,Gadon - TSFP,WFP194,5.68118,46.683252,TSFP_PLW,14,0,0,0,25,0,0,0,0,269,14,25,258,100,0
June,SDO,Galdogob,GALDOGOB - TSFP,WFP195,7.05755,47.13494,TSFP_PLW,0,0,0,0,0,0,0,0,0,320,0,0,320,0,0
June,SDRO,Gaalkacyo,Galinsoor - TSFP,WFP196,6.42639,46.70553,TSFP_PLW,10,0,0,0,4,0,0,0,0,18,10,4,24,100,0
June,Mercy USA,Las Anod ,Gambadhe - TSFP,WFP197,8.542969,47.483103,TSFP_PLW,0,0,0,0,0,0,0,0,0,79,0,0,79,0,0
June,HADO,Iskushuban,Baargaal - TSFP,WFP20,11.28261,51.07728,TSFP_PLW,12,0,0,0,19,0,0,0,0,200,12,19,193,100,0
June,WVI,Doolow,Gedweyne - TSFP,WFP206,4.0302,42.29415,TSFP_PLW,6,0,0,0,14,0,0,4,0,46,6,18,34,78,0
