period,district,district_id,TSFP,TSFP_dfid,MCHN,MCHN_dfid,BSFP,BSFP_dfid
June,Bandarbeyla,R1720077,2128,TBA,1970,TBA,1444,TBA
June,Baraawe,R1720078,4413,TBA,0,TBA,5576,TBA
June,Belet Weyne,R1720079,10820,TBA,13884,TBA,3000,TBA
June,Belet Hawo,R1720080,2213,TBA,1100,TBA,7968,TBA
June,Berbera,R1720081,1164,TBA,3310,TBA,0,TBA
June,Borama,R1720082,4926,TBA,8315,TBA,0,TBA
June,Bossaso,R1720083,8670,TBA,17496,TBA,2240,TBA
June,Bulo Burto,R1720085,6200,TBA,0,TBA,0,TBA
June,Burco,R1720086,5706,TBA,9091,TBA,0,TBA
June,Burtinle,R1720087,4723,TBA,3136,TBA,1020,TBA
June,Buuhoodle,R1720088,4041,TBA,11460,TBA,862,TBA
June,Balanbale,R1720090,8830,TBA,0,TBA,0,TBA
June,Cadaado,R1720091,6801,TBA,0,TBA,2500,TBA
June,Cadale,R1720092,1212,TBA,0,TBA,3666,TBA
June,Caluula,R1720093,2745,TBA,2460,TBA,1300,TBA
June,Caynabo,R1720094,3277,TBA,1752,TBA,2721,TBA
June,Ceel Afweyn,R1720095,10200,TBA,6811,TBA,7411,TBA
June,Ceel Barde,R1720096,2218,TBA,0,TBA,5972,TBA
June,Ceel Dheer,R1720098,5472,TBA,0,TBA,0,TBA
June,Badhan,R1720099,10038,TBA,9282,TBA,2216,TBA
June,Dhuusamarreeb,R1720100,4528,TBA,0,TBA,8000,TBA
June,Diinsoor,R1720101,2019,TBA,0,TBA,3000,TBA
June,Doolow,R1720102,2624,TBA,900,TBA,5084,TBA
June,Eyl,R1720104,3764,TBA,3932,TBA,2040,TBA
June,Gebiley,R1720105,5888,TBA,4914,TBA,0,TBA
June,Galdogob,R1720106,2888,TBA,4465,TBA,0,TBA
June,Gaalkacyo,R1720107,22776,TBA,28882,TBA,19100,TBA
June,Burdhubo,R1720108,2921,TBA,0,TBA,2704,TBA
June,Dangorayo,R1720109,12379,TBA,5137,TBA,4830,TBA
June,Hargeysa,R1720110,10471,TBA,14706,TBA,0,TBA
June,Hobyo,R1720111,10799,TBA,10540,TBA,2500,TBA
June,Iskushuban,R1720112,3369,TBA,3116,TBA,6154,TBA
June,Jariiban,R1720115,3164,TBA,5094,TBA,0,TBA
June,Jowhar,R1720117,10278,TBA,0,TBA,9932,TBA
June,Kismaayo,R1720118,7582,TBA,2000,TBA,16940,TBA
June,Bo'ame,R1720120,9591,TBA,10129,TBA,2879,TBA
June,Laasqoray,R1720121,390,TBA,0,TBA,110,TBA
June,Lughaye,R1720122,4278,TBA,3694,TBA,0,TBA
June,Dhamasa,R1720123,1729,TBA,0,TBA,7992,TBA
June,Hantiwadag,R1720124,4858,TBA,0,TBA,6215,TBA
June,Owdweyne,R1720126,200,TBA,872,TBA,0,TBA
June,Qandala,R1720127,2420,TBA,969,TBA,1300,TBA
June,Qardho,R1720129,4900,TBA,4635,TBA,4100,TBA
June,Burdhuhunle,R1720131,865,TBA,0,TBA,1720,TBA
June,Sheikh,R1720134,476,TBA,1591,TBA,0,TBA
June,Taleex,R1720135,1217,TBA,3167,TBA,1928,TBA
June,Waajid,R1720137,1124,TBA,0,TBA,4448,TBA
June,Beletamin ,R1720138,5513,TBA,0,TBA,6069,TBA
June,Xarardheere,R1720139,8070,TBA,0,TBA,3500,TBA
June,Xudun,R1720140,1366,TBA,3243,TBA,1369,TBA
June,Aboore,R1720141,1300,TBA,0,TBA,4000,TBA
June,Zeylac,R1720142,570,TBA,4108,TBA,0,TBA
June,Boondheere,R1720143,1418,TBA,0,TBA,0,TBA
June,Cabdlcasiis,R1720144,1023,TBA,0,TBA,0,TBA
June,Daynile,R1720145,14515,TBA,0,TBA,8845,TBA
June,Dharkenley,R1720146,5445,TBA,12798,TBA,0,TBA
June,Heliwa,R1720148,2101,TBA,6793,TBA,0,TBA
June,Hodan,R1720149,9481,TBA,3682,TBA,0,TBA
June,Shangaani,R1720151,1297,TBA,0,TBA,0,TBA
June,Shibis,R1720152,1541,TBA,0,TBA,0,TBA
June,Waaberi,R1720153,1301,TBA,6961,TBA,0,TBA
June,Wadajir,R1720154,2331,TBA,5749,TBA,0,TBA
June,Wardhiigleey,R1720155,1485,TBA,5749,TBA,0,TBA
June,Xamar JaabJab,R1720156,1044,TBA,4227,TBA,0,TBA
June,Xamar Weyne,R1720157,2380,TBA,10305,TBA,0,TBA
June,Yaaqshiid,R1720158,2545,TBA,5540,TBA,0,TBA
July,Afgooye,R1720070,10111,TBA,0,TBA,6004,TBA
July,Afmadow,R1720071,1877,TBA,0,TBA,8408,TBA
July,Aliyow Munim,R1720074,3904,TBA,0,TBA,14560,TBA
July,Baki,R1720075,1706,TBA,2268,TBA,0,TBA
July,Balcad,R1720076,2250,TBA,0,TBA,6427,TBA
July,Bandarbeyla,R1720077,2128,TBA,1970,TBA,1444,TBA
July,Baraawe,R1720078,4413,TBA,0,TBA,5576,TBA
July,Belet Weyne,R1720079,10820,TBA,13884,TBA,3000,TBA
July,Belet Hawo,R1720080,1640,TBA,1100,TBA,7968,TBA
July,Berbera,R1720081,1164,TBA,3310,TBA,0,TBA
July,Borama,R1720082,4926,TBA,8315,TBA,0,TBA
July,Bossaso,R1720083,8670,TBA,17496,TBA,2240,TBA
July,Bulo Burto,R1720085,6200,TBA,0,TBA,0,TBA
July,Burco,R1720086,5706,TBA,9091,TBA,0,TBA
July,Burtinle,R1720087,4723,TBA,3136,TBA,1020,TBA
July,Buuhoodle,R1720088,4041,TBA,11460,TBA,862,TBA
July,Balanbale,R1720090,8830,TBA,0,TBA,0,TBA
July,Cadaado,R1720091,6801,TBA,0,TBA,2500,TBA
July,Cadale,R1720092,1212,TBA,0,TBA,3666,TBA
July,Caluula,R1720093,2745,TBA,2460,TBA,1300,TBA
July,Caynabo,R1720094,1323,TBA,0,TBA,2721,TBA
July,Ceel Afweyn,R1720095,10200,TBA,6811,TBA,7411,TBA
July,Ceel Barde,R1720096,2218,TBA,0,TBA,5972,TBA
July,Ceel Dheer,R1720098,5472,TBA,0,TBA,0,TBA
July,Badhan,R1720099,10038,TBA,9282,TBA,2216,TBA
July,Dhuusamarreeb,R1720100,4528,TBA,8000,TBA,0,TBA
July,Diinsoor,R1720101,2019,TBA,0,TBA,3000,TBA
July,Doolow,R1720102,2624,TBA,900,TBA,5084,TBA
July,Eyl,R1720104,3764,TBA,3932,TBA,2040,TBA
July,Gebiley,R1720105,5888,TBA,4914,TBA,0,TBA
July,Galdogob,R1720106,2888,TBA,4465,TBA,0,TBA
July,Gaalkacyo,R1720107,22776,TBA,28882,TBA,19100,TBA
July,Burdhubo,R1720108,2921,TBA,0,TBA,2704,TBA
July,Dangorayo,R1720109,12379,TBA,5137,TBA,4830,TBA
July,Hargeysa,R1720110,10471,TBA,14706,TBA,0,TBA
