period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
February,Mercy USA,Laas Caanood,Lasanod - Regional Capital,WFP6912,8.473575,47.354409,TSFP_U5,46,0,0,,28,0,0,5,0,227,0,0,0,,
February,WVI,Belet Xaawo,Lama warood - Settlement,WFP7022,2.51773,42.9721,TSFP_U5,5,3,1,,15,0,4,1,3,82,6,0,207,,
February,WVI,Lughaye,Lughaye - District Capital,WFP7165,10.682525,43.943153,TSFP_U5,85,0,0,,18,0,0,0,0,288,0,0,0,,
February,WVI,Luuq,Luq Godey - Part of town,WFP7184,3.79704,42.55408,TSFP_U5,4,0,0,,0,0,0,0,0,74,28,20,352,,
February,SWISSO-kalmo,Dhuusamarreeb,Bohol - TSFP,WFP72,5.74731,46.22785,TSFP_U5,21,0,0,,6,0,0,0,0,35,0,0,0,,
February,DHO,Diinsoor,Malkadida - Settlement,WFP7401,3.339,42.47833,TSFP_U5,185,0,0,,100,1,17,0,0,175,128,11,463,,
February,Mercy USA,Laas Caanood,Bocame - MCHN,WFP75,8.396344,47.935664,TSFP_U5,49,0,0,,16,0,0,0,0,229,0,0,0,,
February,HEAL ,Ceerigaabo,MAYDH  - Settlement,WFP7577,10.988259,47.109128,TSFP_U5,1,0,0,,1,0,0,0,0,223,0,0,0,,
February,Mercy USA,Hobyo,Hobyo town  - TSFP,WFP77,5.34743,48.5262,TSFP_U5,23,0,0,,5,0,0,0,0,250,0,0,0,,
February,WOCCA,Mahaday,Mogadishu - National Capital,WFP7702,2.04139,45.333721,TSFP_U5,3344,0,0,0,1843,0,0,0,0,1707,0,0,0,0,
February,SDRA,Gaalkacyo,Mustaqbal - Settlement,WFP7863,1.5655,44.20223,TSFP_U5,59,0,0,,0,0,0,0,0,251,0,0,0,,
February,SCI,Mataban,Omad - Settlement,WFP7974,5.00533,45.47373,TSFP_U5,100,0,0,,0,0,0,0,,324,20,16,334,,
February,SRCS,Caynabo,OOG - Settlement,WFP7990,8.934069,46.617513,TSFP_U5,15,0,0,,0,0,0,0,0,194,0,0,0,,
February,RAAS,Garbahaarey,Airport Area - TSFP,WFP8,3.806398,42.547561,TSFP_U5,0,0,0,,8,0,0,5,9,144,90,280,781,,
February,Gewdo,Garbahaarey,Qansaxley - Settlement,WFP8123,2.58504,45.00872,TSFP_U5,96,0,5,,0,0,0,0,0,139,134,33,303,,
February,SDRO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_U5,7,0,0,,7,0,0,0,0,74,0,0,0,,
February,DHO,Diinsoor,Buniyo - TSFP,WFP82,3.5444,41.85122,TSFP_U5,64,0,2,,32,0,2,1,0,84,121,21,285,,
February,SRCS,Burco,Qorilugud - Settlement,WFP8245,8.552813,46.223893,TSFP_U5,20,0,0,,16,0,0,0,0,334,0,0,0,,
February,SCI,Borama,Quljed - Settlement,WFP8291,10.09149,43.00922,TSFP_U5,113,0,0,,16,0,0,0,0,351,0,0,0,,
February,EPHCO ,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_U5,40,4,1,,0,0,0,0,0,429,82,45,274,,
February,EPHCO,Ceel Barde,Aato - Settlement,WFP832,4.6205,43.350201,TSFP_U5,55,0,0,,0,0,0,0,0,250,84,68,197,,
February,Mercy USA,Hargeisa,Sabawanag - Settlement,WFP8569,10.52959,44.13137,TSFP_U5,44,0,0,,6,0,1,0,0,216,0,0,0,,
February,WVI,Hargeisa,Salahlaye - Settlement,WFP8622,9.02686,44.20228,TSFP_U5,55,0,7,0,40,0,0,0,0,610,0,0,0,0,
February,WVI,Belet Xaawo,Salkudhooble  - Settlement,WFP8632,4.90952,43.99175,TSFP_U5,3,3,1,,52,0,4,1,3,220,149,0,110,,
February,SCI,Borama,Sh Ali - Settlement,WFP8747,6.687049,47.305752,TSFP_U5,35,0,0,,63,0,0,1,0,222,0,0,0,,
February,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_U5,30,0,0,,22,0,3,3,2,249,0,0,0,,
February,WVI,Dan Gorayo,Suuj - Settlement,WFP9044,8.68593,50.36265,TSFP_U5,13,0,0,,21,0,0,0,0,35,70,0,-53,,
February,SDRA,Gaalkacyo,Tawakal - Settlement,WFP9092,4.88902,45.04633,TSFP_U5,36,0,0,,79,0,0,0,0,270,0,0,0,,
February,HRDO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_U5,52,0,0,,24,0,0,0,0,216,2319,1323,1256,,
February,WVI,Dan Gorayo,Usgure - Settlement,WFP9344,7.518322,49.416017,TSFP_U5,110,0,0,,10,0,0,0,0,28,9,0,34,,
February,Gewdo,Garbahaarey,unsi - Settlement,WFP9355,4.03703,41.95665,TSFP_U5,130,0,0,,0,0,0,0,0,66,900,163,1374,,
February,WVI,Gebiley,Wajaale - Settlement,WFP9432,9.60272,43.33481,TSFP_U5,92,0,4,,44,0,0,3,2,162,0,0,0,,
February,HRDO,Cadaado,Cadaado - TSFP,WFP95,6.131423,46.625464,TSFP_U5,121,0,0,,21,0,0,0,0,248,331,294,505,,
February,SRCS,Caynabo,waridaad - Settlement,WFP9589,9.28387,46.25364,TSFP_U5,15,0,8,,5,0,0,0,0,160,0,0,0,,
February,DHO,Diinsoor,Wariiryale - Settlement,WFP9598,3.90174,41.95904,TSFP_U5,64,0,0,,39,0,0,0,0,187,22,7,513,,
February,SHARDO ,Cadale,CADALE - TSFP,WFP96,2.7568,46.319,TSFP_U5,665,0,0,,294,0,0,0,0,345,0,0,0,,
February,RAWA,Xarardheere,Warshubo - Settlement,WFP9623,5.132,47.432499,TSFP_U5,28,0,0,,16,0,1,1,2,246,0,0,0,,
February,DEH,Hobyo,Xinlabi - Settlement,WFP9923,5.3993,47.64737,TSFP_U5,67,0,0,,20,0,0,4,5,260,0,0,0,,
