period,District,site,site_id,partner,latitude,longitude,admissions_SAM,relapses_SAM,readmissions_SAM,upgrades_SAM,downgrades_SAM,defaulters_SAM,successful_SAM,tot_discharges_SAM,perc_recovered_SAM,perc_nonresponding_SAM,perc_defaulters_SAM,admissions_MAM,relapses_MAM,readmissions_MAM,defaulters_MAM,successful_MAM,tot_discharges_MAM,perc_recovered_MAM,perc_nonresponding_MAM,perc_defaulters_MAM,malaria,pneumonia,cholera,IYCF
June,Hudur,Aboore  - Mobile OTP Site ,SNS16,ACF,4.301239,43.909182,65,0,0,0,0,6,34,40,85,0,15,123,0,0,0,0,0,0,0,0,0,15,0,64
June,Hudur,Eedinow  - Mobile OTP Site ,SNS17,ACF,4.150735,43.770452,133,0,0,0,0,0,18,18,100,0,0,197,0,0,0,0,0,0,0,0,1,14,0,30
June,Eyl,Biyo Ade- - Mobile Outreach,SNS18,ACF,8.27098,49.82561,40,0,0,0,0,0,7,7,100,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0
June,Eyl,Cambare- - Mobile Outreach,SNS19,ACF,8.08177,49.36186,80,0,0,0,0,0,3,3,100,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0
June,Afgoye,Lafoole - Static Health Facility/ clinics,SNS2,ACF,2.086555,45.201023,443,0,0,7,0,0,165,172,96,4,0,660,0,0,3,102,105,97,0,3,0,134,4,50
June,Eyl,"Gubato,  - Mobile Outreach",SNS20,ACF,7.617116,47.001314,52,0,0,0,0,0,4,4,100,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0
June,Eyl,"Weyla-laaq, - Mobile Outreach",SNS21,ACF,8.43695,49.42806,105,0,0,0,0,0,3,3,100,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0
June,Eyl,Dhoobo-Cantuug - Mobile Outreach,SNS22,ACF,7.63222,49.28027,73,0,0,0,0,0,5,5,100,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
June,Hodan,Octobar - Static Health Facility,SNS3,ACF,2.032865,45.315392,766,0,0,122,3,11,288,424,68,29,3,1127,0,0,1,41,42,98,0,2,0,0,0,47
June,Kahda,Liqliqito  - Static Health Facility,SNS4,ACF,2.058589,45.264256,886,0,0,87,0,1,306,394,78,22,0,1187,0,0,11,91,102,89,0,11,0,0,0,102
June,Elbarde,Elbarde Town - Static Health Facility/ clinics,SNS5,ACF,4.82821,43.65993,127,2,0,17,3,1,20,41,49,54,2,145,0,0,0,6,6,100,0,0,0,0,0,89
June,Elbarde,Ato - Mobile Clinics,SNS6,ACF,4.6205,43.35402,27,0,0,0,0,7,13,20,65,0,35,67,0,0,0,2,2,100,0,0,0,0,0,26
June,Rabdure,Yeed  - Mobile Clinics,SNS7,ACF,4.82821,43.65993,110,0,0,0,0,0,51,51,100,0,0,66,0,0,0,1,1,100,0,0,0,0,0,64
June,Elbarde,Liwareeg - Mobile Clinics,SNS8,ACF,4.46343,43.3652,96,0,0,1,0,0,45,46,98,2,0,425,0,0,0,8,8,100,0,0,0,0,0,62
