period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
April,Mercy USA,Laas Caanood,faridhidhin  - Settlement,WFP4530,8.09201,47.99068,TSFP_PLW,0,0,0,0,0,0,0,0,0,116,0,0,116,0,0,0
April,HIMILO,Kisimayu,Farjano - Settlement,WFP4532,7.5654,47.79142,TSFP_PLW,0,0,0,0,0,0,0,0,0,227,0,0,227,0,0,0
April,SWISSO-kalmo,Dhuusamarreeb,Dhusamareb town - MCHN,WFP47,5.537643,46.386698,TSFP_PLW,97,0,0,0,50,0,0,0,0,400,97,50,447,100,0,0
April,Mercy USA,Hobyo,Galbarwaqo - Settlement,WFP4757,6.127836,47.678698,TSFP_PLW,3,0,0,0,4,0,0,0,0,85,3,4,84,100,0,0
April,HEAL ,Hargeisa  ,ABAARSO  - Settlement,WFP479,9.602462,43.880653,TSFP_PLW,378,0,152,0,0,0,0,0,0,0,530,0,530,0,0,0
April,SDRO,Gaalkacyo,Bandiradley - TSFP,WFP48,6.47979,46.945358,TSFP_PLW,12,0,0,0,1,0,0,0,0,36,12,1,47,100,0,0
April,HEAL ,Ceel Afweyn,GAR-ADAG  - Settlement,WFP4876,9.487011,46.866926,TSFP_PLW,885,0,17,0,0,0,0,0,0,0,902,0,902,0,0,0
April,Gewdo,Garbahaarey,Garbaharey - Regional Capital,WFP4990,3.328,42.219879,TSFP_PLW,0,0,0,0,85,0,0,3,0,107,0,88,19,97,0,3
April,SWISSO-kalmo,Afgooye,Afgooye - TSFP,WFP5,2.14158,45.118698,TSFP_PLW,734,0,0,0,544,0,0,0,0,642,734,544,832,100,0,0
April,WVI,Lughaye,Gargaara - Settlement,WFP5018,10.313044,43.805888,TSFP_PLW,87,0,2,0,83,0,0,0,0,35,89,83,41,100,0,0
April,WVI,Gebiley,Gabiley - District Capital,WFP5090,9.70577,43.62497,TSFP_PLW,57,0,5,0,80,0,4,0,0,204,62,84,182,95,5,0
April,WVI,Luuq,Abdikhier - Settlement,WFP513,3.87355,42.52765,TSFP_PLW,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0
April,WVI,Lughaye,Geerisa - Settlement,WFP5143,10.60353,43.43364,TSFP_PLW,76,0,2,0,26,0,0,0,0,40,78,26,92,100,0,0
April,HRDO,Cadaado,Gidheys - Settlement,WFP5192,6.01858,46.6824,TSFP_PLW,8,0,0,0,0,0,0,0,0,19,8,0,27,0,0,0
April,HIDIG,Ceel Barde,Abesale - Settlement,WFP526,4.90445,44.5206,TSFP_PLW,24,0,36,0,3,0,1,1,0,58,60,5,113,60,20,20
April,Mercy USA,Buuhoodle,Banyaal - TSFP,WFP53,8.36836,46.53861,TSFP_PLW,0,0,0,0,0,0,0,0,0,63,0,0,63,0,0,0
April,WVI,Dan Gorayo,Baqbaq - TSFP,WFP54,7.82861,49.488331,TSFP_PLW,13,0,0,0,12,3,0,0,0,106,13,15,104,80,0,0
April,Mercy USA,Cabudwaaq,Abudwaq  - Settlement,WFP556,6.24187,46.22592,TSFP_PLW,9,0,0,0,6,0,0,0,0,199,9,6,202,100,0,0
April,HADO,Caluula,Bareeda - TSFP,WFP56,11.8702,51.05796,TSFP_PLW,5,0,0,0,21,0,0,0,0,150,5,21,134,100,0,0
April,Mercy USA,Taleex,Hangey - Settlement,WFP5655,9.13004,47.5761,TSFP_PLW,14,0,0,0,0,0,0,0,0,95,14,0,109,0,0,0
April,DHO,Diinsoor,Hawlwadaag - Settlement,WFP5751,2.00723,43.16499,TSFP_PLW,30,0,0,0,32,0,10,0,0,94,30,42,82,76,24,0
April,RAAS,Garbahaarey,Hillamarer - Settlement,WFP5803,3.22728,42.49406,TSFP_PLW,0,0,0,0,0,0,0,0,0,110,0,0,110,0,0,0
April,EPHCO,Ceel Barde,Hiirey - Settlement,WFP5845,4.80724,43.712,TSFP_PLW,4,0,2,0,0,0,0,0,0,24,6,0,30,0,0,0
April,WVI,Eyl,Badey - TSFP,WFP59,7.98566,49.83521,TSFP_PLW,31,0,0,0,30,1,0,0,0,100,31,31,100,97,0,0
April,SCI,Borama,Idhaanka  - Settlement,WFP6002,9.69256,43.30208,TSFP_PLW,10,0,0,0,6,0,0,0,0,223,10,6,227,100,0,0
April,HRDO,Cadaado,Iidoole - Settlement,WFP6018,6.17485,46.84643,TSFP_PLW,11,0,0,0,0,0,0,0,0,26,11,0,37,0,0,0
April,SCODO,Laas Caanood,Kalabaydh Lasanod - Settlement,WFP6482,8.242749,47.22691,TSFP_PLW,84,0,0,0,18,0,0,0,0,78,84,18,144,100,0,0
April,WVI,Gebiley,Kalabayidhi - Settlement,WFP6492,9.68069,43.47742,TSFP_PLW,60,0,2,0,30,0,0,0,0,140,62,30,172,100,0,0
April,Mercy USA,Hobyo,Kalabeyr - Settlement,WFP6495,4.92629,45.21723,TSFP_PLW,7,0,0,0,10,0,0,0,0,129,7,10,126,100,0,0
April,Mercy USA,Taleex,Kalcad  - Settlement,WFP6515,9.17566,48.14137,TSFP_PLW,0,0,0,0,0,0,0,0,0,200,0,0,200,0,0,0
April,Mercy USA,Laas Caanood,Karindabeyl weyn  - Settlement,WFP6564,8.113926,47.537422,TSFP_PLW,9,0,0,0,0,0,0,0,0,94,9,0,103,0,0,0
April,Mercy USA,Laas Caanood,karingarfood  - Settlement,WFP6565,8.126692,47.754498,TSFP_PLW,0,0,0,0,0,0,0,0,0,98,0,0,98,0,0,0
April,WVI,Garowe,B.dheer - TSFP,WFP67,8.25639,48.305828,TSFP_PLW,37,0,0,0,14,0,0,0,0,63,37,14,86,100,0,0
April,HEAL ,CeelAfweyn,BIXINKA  - TSFP,WFP69,10.113809,47.086639,TSFP_PLW,150,0,0,0,0,0,0,0,0,0,150,0,150,0,0,0
April,Mercy USA,LaasCaanood,Lasanod - Regional Capital,WFP6912,8.473575,47.354409,TSFP_PLW,476,0,25,0,0,0,0,0,0,0,501,0,501,0,0,0
April,DHO,Diinsoor,Lama warood - Settlement,WFP7022,2.51773,42.9721,TSFP_PLW,18,0,0,0,13,0,1,0,0,24,18,14,28,93,7,0
April,WVI,Lughaye,Lughaye - District Capital,WFP7165,10.682525,43.943153,TSFP_PLW,116,0,0,0,33,0,0,0,0,103,116,33,186,100,0,0
April,SWISSO-kalmo,Dhuusamarreeb,Bohol - TSFP,WFP72,5.74731,46.22785,TSFP_PLW,20,0,0,0,11,0,0,0,0,53,20,11,62,100,0,0
April,SCI,Deynile,Malable - Settlement,WFP7385,3.03813,43.43877,TSFP_PLW,306,0,0,0,0,0,0,0,0,2,306,0,308,0,0,0
April,Mercy USA,Laas Caanood,Boocame - MCHN,WFP75,8.396344,47.935664,TSFP_PLW,2,0,0,0,0,0,0,0,0,265,2,0,267,0,0,0
April,HRDO,Cadaado,Marsamage - Settlement,WFP7516,5.76868,47.26299,TSFP_PLW,7,0,0,0,0,0,0,0,0,37,7,0,44,0,0,0
April,HEAL ,Ceerigaabo,MAYDH  - Settlement,WFP7577,10.988259,47.109128,TSFP_PLW,660,0,19,0,0,0,0,0,0,0,679,0,679,0,0,0
April,Mercy USA,Hobyo,Hobyo town  - TSFP,WFP77,5.34743,48.5262,TSFP_PLW,22,0,0,0,11,0,0,0,0,413,22,11,424,100,0,0
April,Mercy USA,Kahda,Mogadishu - National Capital,WFP7702,2.04139,45.333721,TSFP_PLW,365,0,0,0,0,0,0,0,0,181,365,0,546,0,0,0
April,WVI,Doolow,Qansaxley - Settlement,WFP8123,2.58504,45.00872,TSFP_PLW,7,0,0,0,9,0,0,0,0,36,7,9,34,100,0,0
April,SDRO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_PLW,2,0,0,0,2,0,0,0,0,20,2,2,20,100,0,0
April,WVI,BeletXaawo,Buniyo - TSFP,WFP82,3.5444,41.85122,TSFP_PLW,10,0,5,0,3,0,0,0,0,21,15,3,33,100,0,0
April,SCI,Borama,Quljeed - Settlement,WFP8291,10.09149,43.00922,TSFP_PLW,27,0,0,0,3,0,0,0,0,240,27,3,264,100,0,0
April,WVI,Dan Gorayo,Qundhed - Settlement,WFP8300,8.89492,50.44462,TSFP_PLW,6,0,0,0,6,0,0,0,0,20,6,6,20,100,0,0
April,HIDIG,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_PLW,32,0,33,0,5,0,0,0,0,140,65,5,200,100,0,0
April,Mercy USA,Hargeisa  ,Sabawanag - Settlement,WFP8568,9.04489,44.58108,TSFP_PLW,429,0,102,0,0,0,6,0,0,8,531,6,533,0,100,0
April,SDO,Galdogob,BURSAALAX - TSFP,WFP86,7.17457,47.24316,TSFP_PLW,233,0,0,0,0,0,0,0,0,233,233,0,466,0,0,0
April,WVI,Hargeysa,Salahlaye - Settlement,WFP8622,9.02686,44.20228,TSFP_PLW,28,0,0,0,31,0,0,0,0,88,28,31,85,100,0,0
April,EPHCO,Ceel Barde,Salkudhooble - Settlement,WFP8632,4.90952,43.99175,TSFP_PLW,5,0,3,0,0,0,0,0,0,21,8,0,29,0,0,0
April,WVI,Burtinle,Burtinle - MCHN,WFP87,7.64157,47.83103,TSFP_PLW,109,0,0,0,64,0,0,1,0,209,109,65,253,98,0,2
April,SDO,Jariiban,SEEMADE - Settlement,WFP8737,6.8771,48.6721,TSFP_PLW,7,0,0,0,0,0,6,0,0,113,7,6,114,0,100,0
April,SWISSO-kalmo,Dhuusamarreeb,Shalaqben - Settlement,WFP8786,5.26156,45.765,TSFP_PLW,15,0,0,0,9,0,0,0,0,55,15,9,61,100,0,0
April,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_PLW,59,0,0,0,41,0,4,5,0,157,59,50,166,82,8,10
April,WVI,Dan Gorayo,Suuj - Settlement,WFP9044,8.68593,50.36265,TSFP_PLW,9,0,0,0,9,0,0,0,0,25,9,9,25,100,0,0
April,Mercy USA,Cabudwaaq,Tawakal - Settlement,WFP9092,4.88902,45.04633,TSFP_PLW,3,0,0,0,2,0,0,0,0,94,3,2,95,100,0,0
April,HRDO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_PLW,46,0,0,0,39,0,0,0,0,758,46,39,765,100,0,0
April,WVI,Dan Gorayo,Usgure - Settlement,WFP9344,7.518322,49.416017,TSFP_PLW,16,0,0,0,15,1,0,1,0,128,16,17,127,88,0,6
April,HRDO,Cadaado,Wad - Settlement,WFP9422,6.34234,46.79284,TSFP_PLW,9,0,0,0,0,0,0,0,0,18,9,0,27,0,0,0
April,WVI,Gebiley,Wajaale - Settlement,WFP9432,9.60272,43.33481,TSFP_PLW,57,0,2,0,25,0,0,0,0,93,59,25,127,100,0,0
April,HRDO,Cadaado,Cadaado - TSFP,WFP95,6.131423,46.625464,TSFP_PLW,44,0,0,0,58,0,0,0,0,865,44,58,851,100,0,0
April,Mercy USA,Hobyo,Wargalo - Settlement,WFP9584,6.26335,47.5202,TSFP_PLW,2,0,0,0,1,0,0,0,0,108,2,1,109,100,0,0
April,WVI,BeletXaawo,Wariiryale - Settlement,WFP9598,3.90174,41.95904,TSFP_PLW,4,0,4,0,3,0,0,0,0,16,8,3,21,100,0,0
April,SHARDO,Cadale,CADALE - TSFP,WFP96,2.7568,46.319,TSFP_PLW,179,0,0,0,171,0,0,0,0,252,179,171,260,100,0,0
April,RAWA,Xarardheere,Warshubo - Settlement,WFP9623,5.132,47.432499,TSFP_PLW,43,0,0,0,42,0,3,4,0,136,43,49,130,86,6,8
April,Mercy USA,Taleex,Xalin  - Settlement,WFP9705,9.10633,48.6392,TSFP_PLW,0,0,0,0,0,0,0,0,0,114,0,0,114,0,0,0
