period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
April,Mercy USA,Cabudwaaq,Abudwaq  - Settlement,WFP556,6.24187,46.22592,TSFP_U5,25,0,0,0,17,0,0,0,0,595,25,17,603,100,0,0
April,HADO,Caluula,Bareeda - TSFP,WFP56,11.8702,51.05796,TSFP_U5,35,0,0,0,51,0,0,0,0,451,35,51,435,100,0,0
April,Mercy USA,Taleex,Hangey - Settlement,WFP5655,9.13004,47.5761,TSFP_U5,0,0,0,0,0,0,0,0,0,135,0,0,135,0,0,0
April,DHO,Diinsoor,Hawlwadaag - Settlement,WFP5751,2.00723,43.16499,TSFP_U5,63,0,0,0,40,0,4,0,0,578,63,44,597,91,9,0
April,RAAS,Garbahaarey,Hillamarer - Settlement,WFP5803,3.22728,42.49406,TSFP_U5,0,0,0,0,0,0,0,0,0,324,0,0,324,0,0,0
April,EPHCO,Ceel Barde,Hiirey - Settlement,WFP5845,4.80724,43.712,TSFP_U5,97,5,2,0,0,0,0,0,0,297,104,0,401,0,0,0
April,WVI,Eyl,Badey - TSFP,WFP59,7.98566,49.83521,TSFP_U5,26,0,0,0,18,1,0,0,0,163,26,19,170,95,0,0
April,SCI,Borama,Idhaanka  - Settlement,WFP6002,9.69256,43.30208,TSFP_U5,124,0,0,0,3,0,0,0,0,315,124,3,436,100,0,0
April,HRDO,Cadaado,Iidoole - Settlement,WFP6018,6.17485,46.84643,TSFP_U5,15,0,0,0,0,0,0,0,0,52,15,0,67,0,0,0
April,SCODO,Laas Caanood,Kalabaydh Lasanod - Settlement,WFP6482,8.242749,47.22691,TSFP_U5,212,0,0,0,13,0,0,0,0,141,212,13,340,100,0,0
April,WVI,Gebiley,Kalabayidhi - Settlement,WFP6492,9.68069,43.47742,TSFP_U5,88,0,2,0,70,0,3,2,0,390,90,75,405,93,4,0
April,Mercy USA,Hobyo,Kalabeyr - Settlement,WFP6495,4.92629,45.21723,TSFP_U5,15,0,0,0,24,0,0,0,0,150,15,24,141,100,0,0
April,Mercy USA,Taleex,Kalcad  - Settlement,WFP6515,9.17566,48.14137,TSFP_U5,0,0,0,0,0,0,0,0,0,96,0,0,96,0,0,0
April,Mercy USA,Laas Caanood,Karindabeyl weyn  - Settlement,WFP6564,8.113926,47.537422,TSFP_U5,0,0,0,0,0,0,0,0,0,70,0,0,70,0,0,0
April,Mercy USA,Laas Caanood,karingarfood  - Settlement,WFP6565,8.126692,47.754498,TSFP_U5,0,0,0,0,0,0,0,0,0,59,0,0,59,0,0,0
April,WVI,Garowe,B.dheer - TSFP,WFP67,8.25639,48.305828,TSFP_U5,16,0,0,0,16,0,0,0,0,35,16,16,35,100,0,0
April,HEAL ,CeelAfweyn,BIXINKA  - TSFP,WFP69,10.113809,47.086639,TSFP_U5,30,0,0,0,0,0,0,0,0,120,30,0,150,0,0,0
April,Mercy USA,LaasCaanood,Lasanod - Regional Capital,WFP6912,8.473575,47.354409,TSFP_U5,56,0,78,0,0,0,53,0,0,420,134,53,501,0,100,0
April,DHO,Diinsoor,Lama warood - Settlement,WFP7022,2.51773,42.9721,TSFP_U5,38,0,0,0,23,0,0,0,0,119,38,23,134,100,0,0
April,WVI,Lughaye,Lughaye - District Capital,WFP7165,10.682525,43.943153,TSFP_U5,84,0,0,0,85,0,0,0,0,511,84,85,510,100,0,0
April,SWISSO-kalmo,Dhuusamarreeb,Bohol - TSFP,WFP72,5.74731,46.22785,TSFP_U5,0,0,0,0,21,0,0,0,0,138,0,21,117,100,0,0
